fname,sample
WTCHG_598906_257102,T22.1.1
WTCHG_598906_258114,T22.1.2
WTCHG_598906_259126,T22.2.1
WTCHG_598906_260138,T22.2.2
WTCHG_598906_261150,T22.2.3
WTCHG_598906_262162,T22.2.4
WTCHG_598906_263174,T22.2.5
WTCHG_598906_264186,T22.3.1
WTCHG_598906_265103,T22.3.2
WTCHG_598906_266115,T22.3.3
WTCHG_598906_267127,T22.3.4
WTCHG_598906_268139,T22.3.5
WTCHG_598906_269151,T22.4.1
WTCHG_598906_270163,T22.4.2
WTCHG_598906_271175,T22.4.3
WTCHG_598906_272187,T22.4.4
WTCHG_598906_273104,T22.4.5
WTCHG_733139_73135097,T11.1.1
WTCHG_733139_73145098,T11.1.2
WTCHG_733139_73195103,T11.2.1
WTCHG_733139_73205104,T11.2.2.rep
WTCHG_733139_73215105,T11.2.3
WTCHG_733139_73225106,T11.2.4.rep
WTCHG_733139_73235107,T11.2.5.rep
WTCHG_733139_73335117,T11.3.1
WTCHG_733139_73345118,T11.3.2
WTCHG_733139_73355119,T11.3.3
WTCHG_733139_73365120,T11.3.4
WTCHG_733139_73375121,T11.3.5
WTCHG_733139_73485132,T11.4.1
WTCHG_733139_73495133,T11.4.2
WTCHG_733139_73505134,T11.4.3
WTCHG_733139_73515135,T11.4.4
WTCHG_733139_73525136,T11.4.5
WTCHG_732912_73155099,T33.1.1
WTCHG_732912_73165100,T33.1.2
WTCHG_732912_73175101,T44.1.1
WTCHG_732912_73185102,T44.1.2
WTCHG_732912_73245108,T33.2.1.rep
WTCHG_732912_73255109,T33.2.2.rep
WTCHG_732912_73265110,T33.2.3.rep
WTCHG_732912_73275111,T33.2.4.rep
WTCHG_732912_73285112,T33.2.5.rep
WTCHG_732912_73295113,T44.2.2.rep
WTCHG_732912_73305114,T44.2.3.rep
WTCHG_732912_73315115,T44.2.4.rep
WTCHG_732912_73325116,T44.2.5.rep
WTCHG_732912_73385122,T33.3.1
WTCHG_732912_73395123,T33.3.2
WTCHG_732912_73405124,T33.3.3
WTCHG_732912_73415125,T33.3.4
WTCHG_732912_73425126,T33.3.5
WTCHG_732912_73435127,T44.3.1
WTCHG_732912_73445128,T44.3.2
WTCHG_732912_73455129,T44.3.3.rep
WTCHG_732912_73465130,T44.3.4
WTCHG_732912_73475131,T44.3.5
WTCHG_732912_73535137,T33.4.1
WTCHG_732912_73545138,T33.4.2
WTCHG_732912_73555139,T33.4.3.rep
WTCHG_732912_73565140,T33.4.4
WTCHG_732912_73575141,T33.4.5
WTCHG_732912_73585142,T44.4.1
WTCHG_732912_73595143,T44.4.2
WTCHG_732912_73605144,T44.4.3
WTCHG_732912_73615145,T44.4.4
WTCHG_732912_73625146,T44.4.5.rep
WTCHG_732912_73635147,T44.2.1
