product,treatment 2,treatment 3,treatment 4
2-hydroxymuconate tautomerase,5,,
Putative glutamine amidotransferase YafJ,5,,
HTH-type transcriptional activator CmpR,1,,
Cadmium-transporting ATPase,1,,
Potassium-transporting ATPase ATP-binding subunit,1,,
Transcriptional activator protein CzcR,1,,
Undecaprenyl-diphosphatase,1,,
Cobalt-zinc-cadmium resistance protein CzcA,1,,
Cobalt-zinc-cadmium resistance protein CzcC,1,,
putative phosphatidylethanolamine transferase Mcr-1,1,,
Protein UmuC,1,,
Putative transposase InsK for insertion sequence element IS150,1,,
LexA repressor,1,,
Ribosomal small subunit pseudouridine synthase A,1,,
Phenylalanine--tRNA ligase beta subunit,,1,
Type I secretion system membrane fusion protein PrsE,,1,
Isocitrate dehydrogenase kinase/phosphatase,,1,
Alpha-hemolysin translocation ATP-binding protein HlyB,,1,
Carbonic anhydrase 2,,1,
50S ribosomal protein L20,,1,
Aspartokinase,,1,
tRNA(Ile)-lysidine synthase,,1,
Acetyl-CoA acetyltransferase,,1,
Phenylalanine--tRNA ligase alpha subunit,,1,
Hydroxyacylglutathione hydrolase,,1,
Cysteine--tRNA ligase,,1,
Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha,,1,
Acyl-CoA dehydrogenase,,1,
2-succinylbenzoate--CoA ligase,,1,
HTH-type transcriptional regulator CueR,,1,
Integration host factor subunit alpha,,1,
"UDP-2,3-diacylglucosamine hydrolase",,1,
Arginine--tRNA ligase,,1,
HTH-type transcriptional regulator DmlR,,1,
Lipopolysaccharide export system protein LptA,,1,
Sensory transduction protein regX3,,1,
Adaptive-response sensory-kinase SasA,,1,
Cell division protein FtsN,,1,
Malate synthase G,,1,
"1,4-dihydroxy-2-naphthoyl-CoA synthase",,,1
Putative acyltransferase,,,1
Bicarbonate transporter BicA,,,1
Protein-glutamate methylesterase/protein-glutamine glutaminase,,,1
RNA polymerase-binding transcription factor DksA,,,1
(2S)-methylsuccinyl-CoA dehydrogenase,,,1
"Acyl-CoA dehydrogenase, short-chain specific",,,2
Putative aminoacrylate hydrolase RutD,,,1
3-ketoacyl-CoA thiolase,,,1
Glutathione synthetase,,,1
Low affinity potassium transport system protein kup,,,1
Acryloyl-CoA reductase (NADH),,,1
Inner membrane protein YdcO,,,1
