Ct.2.1,Ct.2.2,Ct.2.3,Ct.2.4,Ct.2.5,Ct.2.1,Ct.3.2,Ct.3.3,Ct.3.4,Ct.3.5,Ct.4.1,Ct.4.2,Ct.4.3,Ct.4.4,Ct.4.5
77,67,76,49,51,77,67,76,49,51,77,67,76,49,51
30,55,24,31,28,34,8,63,29,11,34,8,63,29,11
20,1,7,1,0,11,9,12,10,11,11,9,12,10,11
0,0,1,2,5,3,10,7,28,30,3,10,7,28,30
113,83,67,96,65,23,28,26,34,37,23,28,26,34,37
85,44,57,85,67,33,23,27,26,90,33,23,27,26,90
23,21,17,15,15,55,80,100,120,110,55,80,100,120,110
39,34,4,10,7,11,20,17,21,20,11,20,17,21,20
114,146,189,127,85,30,68,45,56,49,30,68,45,56,49
22,87,15,87,12,20,35,34,28,26,20,35,34,28,26
48,84,220,44,32,21,20,155,24,118,21,20,155,24,118
10,48,90,41,37,76,70,30,52,47,76,70,30,52,47
13,20,39,45,22,5,44,21,38,45,5,44,21,38,45
34,34,42,31,55,78,68,90,75,78,78,68,90,75,78
37,46,33,39,50,80,120,74,15,64,80,120,74,15,64
33,18,17,25,52,11,20,57,17,33,11,20,57,17,33
34,38,37,56,43,43,141,88,130,67,43,141,88,130,67
59,44,54,80,56,14,15,12,27,12,14,15,12,27,12
52,46,33,46,51,10,8,10,22,11,10,8,10,22,11
44,72,36,29,37,78,67,109,18,60,78,67,109,18,60
36,65,44,34,41,67,38,70,177,55,67,38,70,177,55
48,20,12,25,9,67,41,60,24,33,67,41,60,24,33
63,31,8,20,44,45,58,82,140,68,45,58,82,140,68
47,58,55,58,51,10,7,8,15,47,10,7,8,15,47
42,11,66,67,23,70,77,86,32,40,70,77,86,32,40
44,29,28,22,70,87,63,41,22,28,87,63,41,22,28
35,36,93,179,68,142,15,69,67,74,142,15,69,67,74
47,37,27,14,79,10,17,9,68,6,10,17,9,68,6
34,53,57,31,53,31,35,87,10,11,31,35,87,10,11
11,69,55,74,20,10,56,53,23,11,10,56,53,23,11
38,30,51,4,65,20,108,29,28,29,20,108,29,28,29
21,48,73,24,95,20,24,105,43,44,20,24,105,43,44
30,69,53,19,51,74,100,46,112,27,74,100,46,112,27
48,54,58,30,78,61,64,48,10,45,61,64,48,10,45
40,44,54,36,58,50,77,47,17,36,50,77,47,17,36
52,61,52,69,67,52,70,55,11,48,52,70,55,11,48
58,91,28,25,81,44,62,51,56,40,44,62,51,56,40
59,32,35,21,35,14,65,75,105,29,14,65,75,105,29
56,57,100,50,71,110,48,60,12,27,110,48,60,12,27
43,45,81,45,9,90,39,36,108,31,90,39,36,108,31
72,52,48,36,39,95,74,68,69,45,95,74,68,69,45
63,32,33,61,93,81,89,66,23,54,81,89,66,23,54
50,60,53,68,84,36,10,23,46,16,36,10,23,46,16
54,61,93,73,54,13,33,13,55,15,13,33,13,55,15
34,40,101,21,88,40,33,22,54,80,40,33,22,54,80
