,strain,treatment,timepoint,cosm,deletions
0,At,1,T11,1,219234
1,At,1,T11,2,220521
2,At,3,T11,1,207109
3,At,3,T11,2,208276
4,At,3,T11,3,208745
5,At,3,T11,4,206707
6,At,3,T11,5,204493
7,At,4,T11,1,210530
8,At,4,T11,2,210508
9,At,4,T11,3,209369
10,At,4,T11,4,208391
11,At,4,T11,5,209969
12,At,1,T22,1,227222
13,At,1,T22,2,230226
14,At,3,T22,1,216712
15,At,3,T22,2,216175
16,At,3,T22,3,209915
17,At,3,T22,4,213188
18,At,3,T22,5,214395
19,At,4,T22,1,212963
20,At,4,T22,2,215839
21,At,4,T22,3,216513
22,At,4,T22,4,212836
23,At,4,T22,5,214499
24,At,1,T33,1,223484
25,At,1,T33,2,222048
26,At,3,T33,1,209629
27,At,3,T33,2,215293
28,At,3,T33,3,209690
29,At,3,T33,4,210084
30,At,3,T33,5,210466
31,At,4,T33,1,208817
32,At,4,T33,2,210951
33,At,4,T33,3,210181
34,At,4,T33,4,209925
35,At,4,T33,5,212747
36,At,1,T44,1,225932
37,At,1,T44,2,222392
38,At,3,T44,1,219620
39,At,3,T44,2,209090
40,At,3,T44,3,207845
41,At,3,T44,4,209419
42,At,3,T44,5,210030
43,At,4,T44,1,197722
44,At,4,T44,2,207340
45,At,4,T44,3,207785
46,At,4,T44,4,207222
47,At,4,T44,5,209133
48,Ct,2,T11,1,174761
49,Ct,2,T11,2,154050
50,Ct,2,T11,3,172342
51,Ct,2,T11,4,162077
52,Ct,2,T11,5,154041
53,Ct,3,T11,1,168511
54,Ct,3,T11,2,159690
55,Ct,3,T11,3,162782
56,Ct,3,T11,4,160937
57,Ct,3,T11,5,170166
58,Ct,4,T11,1,158203
59,Ct,4,T11,2,160126
60,Ct,4,T11,3,162899
61,Ct,4,T11,4,158793
62,Ct,4,T11,5,169784
63,Ct,2,T22,1,166013
64,Ct,2,T22,2,165085
65,Ct,2,T22,3,167078
66,Ct,2,T22,4,163091
67,Ct,2,T22,5,163482
68,Ct,3,T22,1,162820
69,Ct,3,T22,2,164854
70,Ct,3,T22,3,161338
71,Ct,3,T22,4,164032
72,Ct,3,T22,5,168514
73,Ct,4,T22,1,166207
74,Ct,4,T22,2,166302
75,Ct,4,T22,3,161321
76,Ct,4,T22,4,160495
77,Ct,4,T22,5,169928
78,Ct,2,T33,1,160721
79,Ct,2,T33,2,155683
80,Ct,2,T33,3,153750
81,Ct,2,T33,4,156964
82,Ct,2,T33,5,163719
83,Ct,3,T33,1,161149
84,Ct,3,T33,2,170000
85,Ct,3,T33,3,159028
86,Ct,3,T33,4,161439
87,Ct,3,T33,5,164424
88,Ct,4,T33,1,161055
89,Ct,4,T33,2,161081
90,Ct,4,T33,3,162829
91,Ct,4,T33,4,160814
92,Ct,4,T33,5,163227
93,Ct,2,T44,1,155208
94,Ct,2,T44,2,160110
95,Ct,2,T44,3,156842
96,Ct,2,T44,4,154630
97,Ct,2,T44,5,157171
98,Ct,3,T44,1,159919
99,Ct,3,T44,2,171446
100,Ct,3,T44,3,161431
101,Ct,3,T44,4,163265
102,Ct,3,T44,5,159970
103,Ct,4,T44,1,163266
104,Ct,4,T44,2,163733
105,Ct,4,T44,3,163528
106,Ct,4,T44,4,166459
107,Ct,4,T44,5,160342
