strain,treatment,cosm,deletions
Agrobacterium tumefaciens,1,1,0
Agrobacterium tumefaciens,1,1,0
Agrobacterium tumefaciens,1,2,0
Agrobacterium tumefaciens,3,1,1166
Agrobacterium tumefaciens,3,2,516
Agrobacterium tumefaciens,3,3,2101
Agrobacterium tumefaciens,3,4,0
Agrobacterium tumefaciens,3,5,0
Agrobacterium tumefaciens,4,1,4795
Agrobacterium tumefaciens,4,2,0
Agrobacterium tumefaciens,4,3,1811
Agrobacterium tumefaciens,4,4,0
Agrobacterium tumefaciens,4,5,882
Comamonas testosteroni,2,1,36
Comamonas testosteroni,2,2,36
Comamonas testosteroni,2,3,36
Comamonas testosteroni,2,4,36
Comamonas testosteroni,2,5,36
Comamonas testosteroni,3,1,36
Comamonas testosteroni,3,2,36
Comamonas testosteroni,3,3,36
Comamonas testosteroni,3,4,36
Comamonas testosteroni,3,5,36
Comamonas testosteroni,4,1,36
Comamonas testosteroni,4,2,36
Comamonas testosteroni,4,2,36
Comamonas testosteroni,4,3,1775
Comamonas testosteroni,4,4,36
Comamonas testosteroni,4,5,36
Microbacterium saperdae,3,1,251099
Microbacterium saperdae,3,2,251099
Microbacterium saperdae,3,3,251099
Microbacterium saperdae,3,4,0
Microbacterium saperdae,3,5,0
Microbacterium saperdae,4,2,125
Microbacterium saperdae,4,3,0
Microbacterium saperdae,4,5,0
Ochrobactrum anthropi,4,1,0
Ochrobactrum anthropi,4,1,0
Ochrobactrum anthropi,4,2,0
Ochrobactrum anthropi,4,3,0
Ochrobactrum anthropi,4,4,0
Ochrobactrum anthropi,4,4,0
Ochrobactrum anthropi,4,5,0
Ochrobactrum anthropi,4,5,0
