strain,treatment,cosm,insertions
Agrobacterium tumefaciens,1,1,6230
Agrobacterium tumefaciens,1,1,8551
Agrobacterium tumefaciens,1,2,8551
Agrobacterium tumefaciens,3,1,4893
Agrobacterium tumefaciens,3,2,3545
Agrobacterium tumefaciens,3,3,9077
Agrobacterium tumefaciens,3,4,7778
Agrobacterium tumefaciens,3,5,5190
Agrobacterium tumefaciens,4,1,7811
Agrobacterium tumefaciens,4,2,6269
Agrobacterium tumefaciens,4,3,6704
Agrobacterium tumefaciens,4,4,6119
Agrobacterium tumefaciens,4,5,3543
Comamonas testosteroni,2,1,0
Comamonas testosteroni,2,2,1286
Comamonas testosteroni,2,3,1290
Comamonas testosteroni,2,4,0
Comamonas testosteroni,2,5,0
Comamonas testosteroni,3,1,0
Comamonas testosteroni,3,2,0
Comamonas testosteroni,3,3,0
Comamonas testosteroni,3,4,0
Comamonas testosteroni,3,5,0
Comamonas testosteroni,4,1,1290
Comamonas testosteroni,4,2,0
Comamonas testosteroni,4,2,0
Comamonas testosteroni,4,3,0
Comamonas testosteroni,4,4,1224
Comamonas testosteroni,4,5,1290
Microbacterium saperdae,3,1,0
Microbacterium saperdae,3,2,0
Microbacterium saperdae,3,3,0
Microbacterium saperdae,3,4,0
Microbacterium saperdae,3,5,0
Microbacterium saperdae,4,2,0
Microbacterium saperdae,4,3,0
Microbacterium saperdae,4,5,0
Ochrobactrum anthropi,4,1,12359
Ochrobactrum anthropi,4,1,0
Ochrobactrum anthropi,4,2,6182
Ochrobactrum anthropi,4,3,6181
Ochrobactrum anthropi,4,4,18537
Ochrobactrum anthropi,4,4,6183
Ochrobactrum anthropi,4,5,0
Ochrobactrum anthropi,4,5,12361
